case_no,title,date,case_link,division,ponente,dispositive position,votes,Gesmundo,Leonen,Caguioa,Hernando,Lazaro-Javier,M. Lopez,Inting,Zalameda,Gaerlan,Rosario,J. Lopez,Dimaampao,Marquez,Kho,Singh
G.R. No. 205275,"MAMERTO AUSTRIA, PETITIONER, VS. AAA AND BBB, RESPONDENTS.",6/28/22,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/68436,EN BANC,"LOPEZ, M., J.:","FOR THESE REASONS, the petition is DENIED. The Court of Appeals' Decision dated July 31, 2012 in CA G.R. SP No. 114771 is AFFIRMED with MODIFICATION in that the criminal cases are REMANDED to the Regional Trial Court for resolution of Mamerto Austria's motion for reconsideration in accordance with Section 14, Article VIII of the 1987 Constitution. SO ORDERED. Gesmundo, C.J., Leonen, SAJ., Hernando, Zalameda, Gaerlan, Rosario, J. Lopez, Dimaampao, Marquez, Kho, Jr., and Singh, JJ., concur. Caguioa, J., on official leave but left his vote. Lazaro-Javier, J., see concurrence. Inting, J., on leave on official time. "," Gesmundo, C.J., Leonen, SAJ., Hernando, Zalameda, Gaerlan, Rosario, J. Lopez, Dimaampao, Marquez, Kho, Jr., and Singh, JJ., concur. Caguioa, J., on official leave but left his vote. Lazaro-Javier, J., see concurrence. Inting, J., on leave on official time. ",C,C,OL*,C,C,P,OT,C,C,C,C,C,C,C,C
G.R. No. 206042,"AMALGAMATED MOTORS PHILIPPINES, INC., PETITIONER, VS. SECRETARY OF THE DEPARTMENT OF TRANSPORTATION AND COMMUNICATIONS [HON. MANUEL A. ROXAS, II AND HON. JOSEPH EMILIO AGUINALDO ABAYA], VIRGINIA P. TORRES, AND ILDEFONSO T. PATDU, JR., RESPONDENTS.",7/4/22,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/68466,SECOND DIVISION,"LOPEZ, J.","ACCORDINGLY, the instant petition is DENIED. The Decision dated September 28, 2012 and the Resolution dated March 6, 2013 of the Court of Appeals in CA-G.R. SP No. 125203 are AFFIRMED. The Orders dated February 16, 2011 and June 1, 2012 of the Regional Trial Court, Branch 96, Quezon City in Civil Case No. Q-10-68555 are REVERSED and SET ASIDE. The Writs of Preliminary Injunction issued pursuant to said Orders are DISSOLVED.SO ORDERED. Leonen, SAJ. (Chairperson), Lazaro-Javier, M. Lopez, and Kho, Jr., JJ., concur."," Leonen, SAJ. (Chairperson), Lazaro-Javier, M. Lopez, and Kho, Jr., JJ., concur.",,C,,,C,C,,,,,P,,,C,
G.R. No. 249815,"GLORIA A. CHICO, PETITIONER, VS. ELSIE CIUDADANO, RESPONDENT.",7/4/22,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/68433,FIRST DIVISION,GESMUNDO,"WHEREFORE, the petition is DENIED. The April 5, 2019 Decision and October 8, 2019 Resolution of the Court of Appeals in CA-G.R. SP No. 149127 are hereby AFFIRMED in toto.SO ORDERED. Hernando, Zalameda, Rosario, and Marquez, JJ., concur."," Hernando, Zalameda, Rosario, and Marquez, JJ., concur.",P,,,C,,,,C,,C,,,C,,
G.R. No. 243811,"CARLO VILLAMOR Y GEMINA,* PETITIONER, VS. PEOPLE OF THE PHILIPPINES, RESPONDENT.",7/4/22,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/68435,THIRD DIVISION,CAGUIOA,"WHEREFORE, premises considered, the petition is DENIED for lack of merit. The Court hereby ADOPTS the findings of fact and conclusions of law in the Decision dated August 31, 2018 and Resolution dated December 18, 2018 of the Court of Appeals, Special Sixteenth Division and Former Special Sixteenth Division, respectively, in CA-G.R. CR No. 39787. The Decision finding petitioner CARLO VILLAMOR y GEMINA guilty beyond reasonable doubt for violating Section 11, Article II of Republic Act No. 9165, otherwise known as the Comprehensive Dangerous Drugs Act of 2002 is AFFIRMED.SO ORDERED. Inting, Gaerlan, Dimaampao, and Singh, JJ., concur.* ""Carlo Villamor y Gemina alias ""Caloy"" and ""Carlos Villamor @ 'Caloy'"" in some parts of the record."," Inting, Gaerlan, Dimaampao, and Singh, JJ., concur.* ""Carlo Villamor y Gemina alias ""Caloy"" and ""Carlos Villamor @ 'Caloy'"" in some parts of the record.",,,P,,,,C,,C,,,C,,,C
A.C. No. 11369,"JEANNE MARCELO-SALUD, COMPLAINANT, VS. ATTY. ROGELIO J. BOLIVAR, RESPONDENT.",7/4/22,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/68591,SECOND DIVISION,KHO,"ACCORDINGLY, the Court finds and declares respondent Atty. Rogelio J. Bolivar GUILTY of violating Rule 15.03, Canon 15 of the Code of Professional Responsibility and is hereby REPRIMANDED and STERNLY WARNED that any similar infraction in the future will be dealt with more severely.Let copies of this Decision be furnished to the Office of the Bar Confidant, to be appended to respondent's personal record as an attorney and to the Integrated Bar of the Philippines for their information and guidance.SO ORDERED. Leonen, SAJ. (Chairperson), Lazaro-Javier, M. Lopez, and J. Lopez, JJ., concur."," Leonen, SAJ. (Chairperson), Lazaro-Javier, M. Lopez, and J. Lopez, JJ., concur.",,C,,,C,C,,,,,C,,,P,
G.R. No. 243163,"INTERNATIONAL EXCHANGE BANK (NOW UNIONBANK OF THE PHILIPPINES), PETITIONER, VS. JOSE CO LEE AND ANGELA T. LEE, RESPONDENTS.",7/4/22,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/68664,SECOND DIVISION,LEONEN,"WHEREFORE, premises considered, the Petition for Review under Rule 45 of the Rules of Court dated January 3, 2019 is PARTIALLY GRANTED. The August 17, 2018 Decision and November 13, 2018 Resolution of the Court of Appeals, Manila in CA-G.R. SP No. 151834 affirming the March 1, 2017 Resolution and May 22, 2017 Order of the Regional Trial Court of Makati City, Branch 58 are REVERSED and SET ASIDE AS TO RESPONDENT JOSE CO LEE. Respondent Jose Co Lee is hereby ORDERED to return the amounts fraudulently transferred into his account.SO ORDERED. Lazaro-Javier, M. Lopez, J. Lopez, and Kho, Jr., JJ., concur."," Lazaro-Javier, M. Lopez, J. Lopez, and Kho, Jr., JJ., concur.",,P,,,C,C,,,,,C,,,C,
G.R. No. 255157,"ONESIMO AGAPITO, PETITIONER, VS. MARILYN F. AGAPITO, RESPONDENT.",7/4/22,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/68764,SECOND DIVISION,KHO,"WHEREFORE, the petition is GRANTED. The December 28, 2020 Decision of the Court of Appeals in CA-G.R. SP No. 157507 is REVERSED. The instant case is REMANDED to the court of origin for a determination of the facts essential to the proper application of Articles 448, 546 and 548 of the Civil Code pursuant to prevailing jurisprudence as delineated in this Decision.SO ORDERED. Leonen, SAJ. (Chairperson), Lazaro-Javier, M. Lopez and J. Lopez, JJ., concur."," Leonen, SAJ. (Chairperson), Lazaro-Javier, M. Lopez and J. Lopez, JJ., concur.",,C,,,C,C,,,,,C,,,P,
A.C. No. 13242 [Formerly CBD Case No. 15-4692],"ROGER D. ASUNCION, COMPLAINANT, VS. ATTY. RONALDO P. SALVADO, RESPONDENT.",7/5/22,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/68459,EN BANC,PER CURIAM:,"WHEREFORE, the Court finds respondent Atty. Ronaldo P. Salvado GUILTY of violating the Lawyer's Oath, Canon 1, Rules 1.01 and 1.02, Canon 13, Rule 15.06, Canons 17 and 18, and Rule 18.04 of the Code of Professional Responsibility. Thus, the Court imposes upon him the penalty of DISBARMENT from the practice of law. His name is ORDERED STRICKEN from the Roll of Attorneys, effective immediately.Respondent Atty. Ronaldo P. Salvado is likewise ORDERED to return within 10 days from notice of this Decision the amount of P420,000.00 to Roger D. Asuncion with interest at the legal rate of 6% per annum from his date of receipt until full payment. Respondent Atty. Ronaldo P. Salvado is directed to submit to the Court proof of payment within 10 days thereof.Let copies of this Decision be furnished the Office of the Bar Confidant to be appended to respondent Atty. Ronaldo P. Salvado's personal record as an attorney, as well as the Integrated Bar of the Philippines, the Office of the Court Administrator, all courts in the country, and to all administrative and quasi-judicial agencies for their information and guidance.SO ORDERED. Gesmundo, C.J., Leonen, SAJ., Caguioa, Hernando, Lazaro-Javier, Inting, Zalameda, M. Lopez, Gaerlan, Rosario, J. Lopez, Dimaampao, Marquez, Kho, Jr., and Singh, JJ., concur."," Gesmundo, C.J., Leonen, SAJ., Caguioa, Hernando, Lazaro-Javier, Inting, Zalameda, M. Lopez, Gaerlan, Rosario, J. Lopez, Dimaampao, Marquez, Kho, Jr., and Singh, JJ., concur.",C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
G.R. No. 258448,"WILSON CARITERO AMAD, PETITIONER, VS. COMMISSION ON ELECTIONS, RESPONDENT.",7/5/22,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/68486,EN BANC,GAERLAN,"Accordingly, they are REPRIMANDED for this disobedience.SO ORDERED. Gesmundo, C.J., Leonen, SAJ., Caguioa, Hernando, Lazaro-Javier, Zalameda, M. Lopez, Rosario, J. Lopez, Dimaampao, Marquez, and Singh, JJ., concur.Inting, J., no part.Kho, Jr., J., no part."," Gesmundo, C.J., Leonen, SAJ., Caguioa, Hernando, Lazaro-Javier, Zalameda, M. Lopez, Rosario, J. Lopez, Dimaampao, Marquez, and Singh, JJ., concur.Inting, J., no part.Kho, Jr., J., no part.",C,C,C,C,C,C,NP,C,P,C,C,C,C,NP,C
G.R. No. 213860,"THE PHILIPPINE STOCK EXCHANGE, INC., BANKERS ASSOCIATION OF THE PHILIPPINES, PHILIPPINE ASSOCIATION OF SECURITIES BROKERS AND DEALERS, INC., FUND MANAGERS ASSOCIATION OF THE PHILIPPINES, TRUST OFFICERS ASSOCIATION OF THE PHILIPPINES, AND MARMON HOLDINGS, INC., PETITIONERS, VS. SECRETARY OF FINANCE, COMMISSIONER OF INTERNAL REVENUE, AND CHAIRPERSON OF THE SECURITIES AND EXCHANGE COMMISSION, RESPONDENTS.",7/5/22,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/68497,EN BANC,HERNANDO,"WHEREFORE, the Petition for Certiorari and Prohibition is GRANTED. Revenue Regulations No. 1-2014, Revenue Memorandum Circular No. 5-2014, and Securities and Exchange Commission Memorandum Circular No. 10-14 are STRUCK DOWN for being UNCONSTITUTIONAL. The Temporary Restraining Order issued by this Court on September 9, 2014 is MADE PERMANENT.SO ORDERED. Gesmundo, C.J., See separate concurring opinion.Caguioa, Inting, Zalameda, M. Lopez, Gaerlan, Rosario, J. Lopez, Dimaampao, Marquez, Kho, Jr., and Singh, JJ., concur.Leonen, SAJ., See separate concurring opinion.Lazaro-Javier, J., Please See Concurrence and Dissent."," Gesmundo, C.J., See separate concurring opinion.Caguioa, Inting, Zalameda, M. Lopez, Gaerlan, Rosario, J. Lopez, Dimaampao, Marquez, Kho, Jr., and Singh, JJ., concur.Leonen, SAJ., See separate concurring opinion.Lazaro-Javier, J., Please See Concurrence and Dissent.",C,C,C,P,CD,C,C,C,C,C,C,C,C,C,C
G.R. No. 241348,"LORETO A. CA√ëAVERAS AND OFELIA B. CA√ëAVERAS, PETITIONERS, VS. JUDGE JOCELYN P. GAMBOA-DELOS SANTOS AND RODEL MARIANO, RESPONDENTS.",7/5/22,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/68496,EN BANC,INTING,"WHEREFORE, the petition is PARTLY GRANTED. The Orders dated May 23, 2018 and June 6, 2018 issued in Criminal Case No. 17-0597 by Presiding Judge Jocelyn P. Gamboa-Delos Santos of Branch 4, Municipal Trial Court in Cities (MTCC), City of San Fernando, Pampanga are SET ASIDE insofar as they deemed petitioners Loreto A. Ca√±averas and Ofelia B. Ca√±averas to have waived their right to cross-examine prosecution witness Nenita G. Mariano. The trial court is DIRECTED to proceed with the cross-examination of Nenita G. Mariano and to continue the criminal proceedings with dispatch. SO ORDERED. Gesmundo, C.J., Caguioa, Hernando, Zalameda, M. Lopez, Gaerlan, Rosario, J. Lopez, Dimaampao, Marquez, Kho, Jr., and Singh, JJ., concur. Leonen, SAJ., see separate concurring opinion. Lazaro-Javier, J., see concurrence. "," Gesmundo, C.J., Caguioa, Hernando, Zalameda, M. Lopez, Gaerlan, Rosario, J. Lopez, Dimaampao, Marquez, Kho, Jr., and Singh, JJ., concur. Leonen, SAJ., see separate concurring opinion. Lazaro-Javier, J., see concurrence. ",C,C,C,C,C,C,P,C,C,C,C,C,C,C,C
G.R. No. 215159,"CHEVRON HOLDINGS, INC. (FORMERLY CALTEX ASIA LIMITED), PETITIONER, VS. COMMISSIONER OF INTERNAL REVENUE, RESPONDENT.",7/5/22,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/68508,EN BANC,"LOPEZ, M., J.:","FOR THESE REASONS, the Petition for Review on Certiorari is PARTLY GRANTED. The Court of Tax Appeals En Banc's Decision dated May 6, 2014, and Amended Decision dated October 28, 2014, in CTA EB No. 940 are AFFIRMED with MODIFICATIONS. The Commissioner of Internal Revenue is ordered to refund, or in the alternative, issue a tax credit certificate in favor of Chevron Holdings, Inc. in the total amount of One Million One Hundred Forty Thousand Three Hundred Eighty-One Pesos and 22/100 (P1,140,381.22), representing unutilized input tax attributable to zero-rated sales for the period of January 1 to December 31, 2006. SO ORDERED. Gesmundo, C.J., Leonen, SAJ., Hernando, Inting, Zalameda, Gaerlan, Rosario, J. Lopez, Dimaampao, Marquez, Kho, Jr., and Singh, JJ., concur. Caguioa and Lazaro-Javier, JJ., see dissent.","Gesmundo, C.J., Leonen, SAJ., Hernando, Inting, Zalameda, Gaerlan, Rosario, J. Lopez, Dimaampao, Marquez, Kho, Jr., and Singh, JJ., concur. Caguioa and Lazaro-Javier, JJ., see dissent.",C,C,D,C,D,P,C,C,C,C,C,C,C,C,C
G.R. No. 257608,"THE SENATE OF THE PHILIPPINES, REPRESENTED BY SENATE PRESIDENT VICENTE C. SOTTO III, SENATE PRESIDENT PRO TEMPORE RALPH G. RECTO, SENATE MAJORITY FLOOR LEADER JUAN MIGUEL F. ZUBIRI, SENATE MINORITY FLOOR LEADER FRANKLIN M. DRILON, AND SENATE COMMITTEE ON ACCOUNTABILITY OF PUBLIC OFFICERS AND INVESTIGATIONS CHAIRPERSON RICHARD J. GORDON, AND IN THEIR OFFICIAL AND INDIVIDUAL CAPACITIES AS MEMBERS OF THE SENATE OF THE PHILIPPINES, PETITIONERS, VS. THE EXECUTIVE SECRETARY SALVADOR C. MEDIALDEA AND SECRETARY OF HEALTH FRANCISCO T. DUQUE III, RESPONDENTS.",7/5/22,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/69059,EN BANC,LAZARO-JAVIER,"ACCORDINGLY, the petition is DISMISSED, and the application for preliminary injunction, DENIED. SO ORDERED. Gesmundo, C.J., Hernando, Inting, Zalameda, M. Lopez, Gaerlan, Rosario, J. Lopez, Dimaampao, Marquez, Kho, Jr., and Singh, JJ., concur. Leonen, SAJ., see separate opinion. Caguioa, J., see dissenting opinion. "," Gesmundo, C.J., Hernando, Inting, Zalameda, M. Lopez, Gaerlan, Rosario, J. Lopez, Dimaampao, Marquez, Kho, Jr., and Singh, JJ., concur. Leonen, SAJ., see separate opinion. Caguioa, J., see dissenting opinion. ",C,CD,D,C,P,C,C,C,C,C,C,C,C,C,C
G.R. Nos. 246780-82,"PEOPLE OF THE PHILIPPINES, PLAINTIFF-APPELLEE, VS. LUISITO ENRIQUEZ MARTY, ACCUSED-APPELLANT.",7/6/22,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/68722,SECOND DIVISION,"LOPEZ, J.","ACCORDINGLY, premises considered, the appeal is GRANTED. The Decision dated February 15, 2019 and the Resolution dated April 4, 2019 of the Sandiganbayan in Criminal Cases Nos. SB-17-CRM-0050 and SB-17-CRM-0052, finding accused-appellant Luisito Enriquez Marty guilty of violation of Section 3(e) of Republic Act No. 3019 and (2) usurpation of legislative powers under Article 239 of the Revised Penal Code, respectively, are hereby REVERSED AND SET ASIDE. Consequently, accused¬≠appellant Luisito Enriquez Marty is hereby ACQUITTED of the crimes charged.Let entry of judgment be issued immediately.SO ORDERED. Leonen, SAJ. (Chairperson), Lazaro-Javier, M. Lopez, and Kho, Jr., JJ., concur."," Leonen, SAJ. (Chairperson), Lazaro-Javier, M. Lopez, and Kho, Jr., JJ., concur.",,C,,,C,C,,,,,P,,,C,
G.R. No. 253287,"PEOPLE OF PHILIPPINES, PLAINTIFF-APPELLEE, VS. KENNETH JOHN GRAHAM AND JOCELYN ORDINARYO, ACCUSED; ROSARIO CRASTE* Y SOLAYAO, ACCUSED-APPELLANT.",7/6/22,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/69255,SECOND DIVISION,"LOPEZ, M., J.:","Accordingly, she is sentenced to suffer the penalty of life imprisonment and to pay a fine in the amount of PHP 2,000,000.00. In addition, she is ordered to pay the victims, GGG 253287, FFF 253287, and KKK 253287, the amounts of PHP 500,000.00 as moral damages and PHP 100,000.00 as exemplary damages, both with legal interest at the rate of 6% per annum from the finality of this Decision until full payment; (c) In Criminal Case Nos. 12-8901 and 12-8907, Rosario is ACQUITTED of the crimes charged for lack of evidence; and (d) The awards in favor of QQQ 253287 are DELETED for lack of basis. SO ORDERED. Leonen, SAJ. (Chairperson), Lazaro-Javier, J. Lopez and Kho, Jr., JJ., concur.* ""Castre"" and ""Crusty"" in some parts of the records."," Leonen, SAJ. (Chairperson), Lazaro-Javier, J. Lopez and Kho, Jr., JJ., concur.* ""Castre"" and ""Crusty"" in some parts of the records.",,C,,,C,P,,,,,C,,,C,
G.R. No. 239010,"SECURITIES AND EXCHANGE COMMISSION, PETITIONER, VS. AZ 17/31 REALTY, INC., RESPONDENT.  [G.R. No. 240888]  AZUCENA LOCSIN-GARCIA, PETITIONER, VS. AZ 17/31 REALTY, INC., RESPONDENT.",7/6/22,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/68478,SECOND DIVISION,LAZARO-JAVIER,"ACCORDINGLY, the petition of the Securities and Exchange Commission in G.R. No. 239010 is DENIED on ground that it is not a real party in interest. The petition of Azucena Locsin-Garcia in G.R. No. 240888 is also DENIED and the Decision dated April 24, 2018 and Resolution dated July 16, 2018 of the Court of Appeals in CA-G.R. SP No. 152300 are AFFIRMED with MODIFICATION. AZ 17/31 Realty, Inc. is ORDERED to: 1.) AMEND its Articles of Incorporation and drop Pacita Javier as incorporator within six (6) months from notice of this Decision; and 2.) RETURN the property of Pacita Javier, including its accrued earnings, to her estate. The Securities and Exchange Commission is ORDERED to STRICTLY MONITOR AZ 17/31 Realty, Inc.'s compliance with this Decision and to SUBMIT its REPORT within thirty (30) days from the said compliance. SO ORDERED. M. Lopez, J. Lopez, and Kho, Jr., JJ., concur. Leonen, SAJ. (Chairperson), see separate dissenting opinion.","M. Lopez, J. Lopez, and Kho, Jr., JJ., concur.
Leonen, SAJ. (Chairperson), see separate dissenting opinion.",,D,,,P,C,,,,,C,,,C,
G.R. No. 249606,"ALICIA O. FERNANDEZ, ANTHONY JOEY S. TAN, REYNALDO V. CESA, AND ERGARDO V. MARTINEZ, PETITIONERS, vs. PEOPLE OF THE PHILIPPINES, RESPONDENT.",7/6/22,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/68454,FIRST DIVISION,ZALAMEDA,"WHEREFORE, the Petition is DENIED. The Decision dated 27 September 2019 of the Court of Tax Appeals En Banc in CTA Crim. Case No. 048 is hereby AFFIRMED with MODIFICATION. Petitioners ALICIA O. FERNANDEZ, ANTHONY JOEY S. TAN, REYNALDO V. CESA, and EDGARDO V. MARTINEZ are GUILTY beyond reasonable doubt of the crime of violating Section 3602, in relation to Section 2503, of the Tariff and Customs Code of the Philippines. They are SENTENCED to suffer an indeterminate penalty of imprisonment of eight (8) years and one (1) day, as minimum, to twelve (12) years, as maximum, and are ORDERED to each pay a fine of Eight Thousand Pesos (P8,000.00).SO ORDERED. ""Gesmundo, C.J. (Chairperson), Hernando, Rosario, and Marquez, JJ., concur."," ""Gesmundo, C.J. (Chairperson), Hernando, Rosario, and Marquez, JJ., concur.",C,,,C,,,,P,,C,,,C,,
G.R. Nos. 247414-18,"ROLANDO MAGA√ëA PACURIBOT, PETITIONER, VS. HONORABLE SANDIGANBAYAN (SECOND DIVISION) AND PEOPLE OF THE PHILIPPINES, RESPONDENTS.",7/6/22,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/68457,THIRD DIVISION,CAGUIOA,"WHEREFORE, premises considered, the Petition is GRANTED. The (a) Resolutions dated October 24, 2018 and March 4, 2019 in Criminal Case No. SB-18-CRM-0137, (b) Resolutions dated October 17, 2018 and March 4, 2019 in Criminal Case No. SB-18-CRM-0229, (c) Resolutions dated November 27, 2018 and March 4, 2019 in Criminal Case Nos. SB-18-CRM-0395 and SB-18-CRM-0405, of the Sandiganbayan, Second Division, and (d) Resolutions dated December 10, 2018 and March 15, 2019 in Criminal Case No. SB-18-CRM-0274 of the Sandiganbayan, Special Second Division, are hereby REVERSED and SET ASIDE. The Sandiganbayan is likewise ordered to DISMISS the foregoing cases for violation of the constitutional right to speedy disposition of cases of petitioner Rolando Maga√±a Pacuribot.SO ORDERED. Inting, Gaerlan, Dimaampao, and Singh, JJ., concur."," Inting, Gaerlan, Dimaampao, and Singh, JJ., concur.",,,P,,,,C,,C,,,C,,,C
G.R. No. 206327,"INTERNATIONAL EXCHANGE BANK, PETITIONER, VS. RUDY S. LABOS AND ASSOCIATES, INC., SPS. RODOLFO S. LABOS AND CONSUELO R. LABOS, AND ROCKWELL LAND CORPORATION, RESPONDENTS.",7/6/22,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/68446,FIRST DIVISION,HERNANDO,"WHEREFORE, We DENY the petition for lack of merit, and accordingly AFFIRM the challenged Resolution of the Court of Appeals dated December 20, 2012 in CA G.R. CV No. 95810, absolving Rockwell Land Corporation of any liability to herein petitioner International Exchange Bank. Correspondingly, the Decision dated December 22, 2009 of the Regional Trial Court of Makati City, Branch 62, in Civil Case No. 05-313, is hereby AFFIRMED in toto.SO ORDERED. Gesmundo, C.J. (Chairperson), Inting,* Rosario, and Marquez, JJ., concur.* Designated additional Member per February 28, 2022 Raffle vice J. Zalameda who recused due to prior action in the Court of Appeals."," Gesmundo, C.J. (Chairperson), Inting,* Rosario, and Marquez, JJ., concur.* Designated additional Member per February 28, 2022 Raffle vice J. Zalameda who recused due to prior action in the Court of Appeals.",C,,,P,,,C,,,C,,,C,,
G.R. No. 248495,"ENGR. RUBEN Y. YU, DOING BUSINESS UNDER THE NAME AND STYLE RYU CONSTRUCTION, PETITIONER, VS. HEIRS OF MANUEL SIA, REPRESENTED BY MAYOR ROSEMARIE H. SIA, RESPONDENTS.",7/6/22,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/68423,FIRST DIVISION,ZALAMEDA,"WHEREFORE, the foregoing premises considered, the Petition is DENIED. The Decision dated 29 March 2019 and the Resolution dated 18 July 2019 of the Court of Appeals in CA-G.R. CV No. 107708 are REVERSED and SET ASIDE. The Complaint of Ruben Yu and the Counterclaim of Rosemarie Sia in Civil Case No. 10577 are hereby DISMISSED.SO ORDERED. Gesmundo, C.J., (Chairperson), Hernando, Rosario, and Marquez, JJ., concur."," Gesmundo, C.J., (Chairperson), Hernando, Rosario, and Marquez, JJ., concur.",C,,,C,,,,P,,C,,,C,,
G.R. No. 180350,"TRANS MIDDLE EAST (PHILS.) EQUITIES, INC., PETITIONER, VS. THE SANDIGANBAYAN (FIFTH DIVISION), REPUBLIC OF THE PHILIPPINES REPRESENTED BY THE PRESIDENTIAL COMMISSION ON GOOD GOVERNMENT (PCGG), RESPONDENTS.  [G.R. No. 205186]   FIRST PHILIPPINE HOLDINGS CORPORATION, PETITIONER, VS. THE PRESIDENTIAL COMMISSION ON GOOD GOVERNMENT, JULIETTE GOMEZ ROMUALDEZ, THE HEIRS OF BENJAMIN (""KOKOY"") ROMUALDEZ, IMELDA ROMUALDEZ MARCOS, AND ESTATE OF FERDINAND E. MARCOS, RESPONDENTS.  [G.R. No. 222919]   REPUBLIC OF THE PHILIPPINES REPRESENTED BY THE PRESIDENTIAL COMMISSION ON GOOD GOVERNMENT, PETITIONER, VS. BENJAMIN ""KOKOY"" ROMUALDEZ, JULIETTE GOMEZ ROMUALDEZ, IMELDA ROMUALDEZ MARCOS, THE ESTATE OF FERDINAND E. MARCOS, RESPONDENTS.  [G.R. No. 223237]   FIRST PHILIPPINE HOLDINGS CORPORATION, PETITIONER, VS. THE HONORABLE SANDIGANBAYAN [FIFTH (5TH DIVISION], PRESIDENTIAL COMMISSION ON GOOD GOVERNMENT, JULIETTE GOMEZ ROMUALDEZ, THE HEIRS OF BENJAMIN (KOKOY) ROMUALDEZ, IMELDA ROMUALDEZ MARCOS, THE ESTATE OF FERDINAND E. MARCOS, AND BANCO DE ORO UNIVERSAL BANK, RESPONDENTS.",7/6/22,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/68460,FIRST DIVISION,ZALAMEDA,"Accordingly, the Executive Clerk of Court of the Sandiganbayan, the Presidential Commission on Good Government, and all other concerned entities are DIRECTED to immediately release in favor of petitioner Trans Middle East (Phils.) Equities, Inc. its previously sequestered shares of stock, including all accrued dividends and interest thereon, as well as the corresponding stock certificates and other evidence of ownership, which are in their possession.The Petition for Review on Certiorari in G.R. No. 205186, and the Petition for Certiorari in G.R. Nos. 222919 and 223237 are DENIED and DISMISSED for lack of merit, respectively.SO ORDERED. Leonen, SAJ.,* Hernando, (Acting Chairperson), Rosario, and Marquez, JJ., concur.* Designated additional Member per 22 June 2022 Raffle vice C.J. Gesmundo who recused from the cases due to his prior appointment as PCGG Commissioner."," Leonen, SAJ.,* Hernando, (Acting Chairperson), Rosario, and Marquez, JJ., concur.* Designated additional Member per 22 June 2022 Raffle vice C.J. Gesmundo who recused from the cases due to his prior appointment as PCGG Commissioner.",,C,,C,,,,P,,C,,,C,,
G.R. No. 234365,"PHILIPPINE TRANSMARINE CARRIERS, INC. AND/OR SEASPAN CREW MANAGEMENT LTD. AND/OR CARLOS SALINAS, PETITIONERS, VS. ALLAN N. TENA-E, RESPONDENT.",7/6/22,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/68427,FIRST DIVISION,HERNANDO,"WHEREFORE, the instant Petition is GRANTED. The April 4, 2017 Decision and the September 14, 2017 Resolution of the Court of Appeals in CA-¬≠G.R. SP No. 147227 awarding Allan N. Tena-e total and permanent disability benefits, are SET ASIDE. Petitioners Philippine Transmarine Carriers, Inc. and Seaspan Crew Management LTD. are hereby ORDERED to jointly and severally pay ALLAN N. TENA-E the amount of US$5,225.00 (US$50,000.00 x 10.45%) or its equivalent in Philippine Currency at the time of payment, corresponding to Grade 12 Disability under the Philippine Overseas Employment Administration-Standard Employment Contract. The original award of attorney's fees in respondent's favor is DELETED.The amounts due to ALLAN N. TENA-E shall earn interest at the rate of six percent (6%) per annum from the date of finality of this Decision until fully paid.SO ORDERED. Gesmundo, C.J. (Chairperson), Zalameda, Rosario, and Marquez, JJ., concur."," Gesmundo, C.J. (Chairperson), Zalameda, Rosario, and Marquez, JJ., concur.",C,,,P,,,,C,,C,,,C,,
